"FID_";"TABID";"POINT_X";"POINT_Y";"demH"
;1446172;8.4583;61.0814;1262
;1446173;8.4767;61.0823;1382
;1446174;8.4951;61.0832;1256
;1446210;9.1589;61.1136;1024
;1446211;9.1774;61.1144;952
;1446212;9.1958;61.1152;987
;1446213;9.2143;61.116;1057
;1446214;9.2327;61.1168;1103
;1446215;9.2512;61.1176;1121
;1446216;9.2697;61.1184;1040
;1446217;9.2881;61.1192;1106
;1446218;9.3066;61.12;1047
;1446219;9.3251;61.1207;1025
;1446220;9.3435;61.1215;1013
;1446221;9.362;61.1223;981
;1446222;9.3805;61.1231;961
;1446223;9.399;61.1238;963
;1446224;9.4174;61.1246;1024
;1446225;9.4359;61.1254;940
;1446226;9.4544;61.1261;847
;1446227;9.4729;61.1269;816
;1446228;9.4913;61.1276;834
;1446229;9.5098;61.1284;857
;1446230;9.5283;61.1291;919
;1446231;9.5468;61.1299;964
;1446232;9.5653;61.1306;898
;1446233;9.5837;61.1314;940
;1446234;9.6022;61.1321;1041
;1446235;9.6207;61.1329;1063
;1446236;9.6392;61.1336;1033
;1446237;9.6577;61.1343;997
;1446238;9.6762;61.1351;1019
;1446239;9.6947;61.1358;1037
;1447363;8.3865;61.0689;1654
;1447364;8.4049;61.0698;1468
;1447365;8.4233;61.0707;1261
;1447366;8.4417;61.0716;1188
;1447367;8.4601;61.0725;1158
;1447368;8.4785;61.0734;1174
;1447369;8.4969;61.0743;1162
;1447370;8.5154;61.0752;1182
;1447406;9.179;61.1055;1041
;1447407;9.1975;61.1063;1041
;1447408;9.2159;61.1071;1086
;1447410;9.2528;61.1087;1191
;1447413;9.3082;61.111;1030
;1447414;9.3267;61.1118;999
;1447415;9.3451;61.1126;1029
;1447416;9.3636;61.1134;1019
;1447417;9.3821;61.1141;1010
;1447418;9.4005;61.1149;985
;1447419;9.419;61.1157;974
;1447420;9.4375;61.1164;980
;1447421;9.456;61.1172;927
;1447422;9.4744;61.1179;805
;1447423;9.4929;61.1187;801
;1447424;9.5114;61.1195;854
;1447425;9.5299;61.1202;906
;1447426;9.5483;61.121;916
;1447427;9.5668;61.1217;895
;1447428;9.5853;61.1224;908
;1447429;9.6038;61.1232;927
;1447430;9.6222;61.1239;993
;1447431;9.6407;61.1247;980
;1447432;9.6592;61.1254;963
;1447433;9.6777;61.1261;963
;1447434;9.6962;61.1268;963
;1447435;9.7146;61.1276;981
;1448557;8.37;61.0591;1541
;1448558;8.3883;61.06;1523
;1448559;8.4067;61.0609;1332
;1448560;8.4251;61.0618;1310
;1448561;8.4436;61.0627;1254
;1448562;8.462;61.0636;1289
;1448563;8.4804;61.0645;1238
;1448564;8.4988;61.0654;1284
;1448565;8.5172;61.0663;1089
;1448566;8.5356;61.0672;1191
;1448608;9.3098;61.1021;947
;1448609;9.3283;61.1029;917
;1448610;9.3468;61.1037;961
;1448611;9.3652;61.1044;996
;1448612;9.3837;61.1052;1023
;1448613;9.4021;61.106;1023
;1448614;9.4206;61.1067;1010
;1448615;9.4391;61.1075;1023
;1448616;9.4575;61.1083;992
;1448617;9.476;61.109;892
;1448618;9.4945;61.1098;801
;1448619;9.5129;61.1105;827
;1448620;9.5314;61.1113;915
;1448621;9.5499;61.112;946
;1448622;9.5683;61.1128;895
;1448623;9.5868;61.1135;905
;1448624;9.6053;61.1142;931
;1448625;9.6238;61.115;931
;1448626;9.6422;61.1157;938
;1448627;9.6607;61.1164;957
;1448628;9.6792;61.1172;956
;1448629;9.6977;61.1179;975
;1448630;9.7161;61.1186;990
;1449752;8.3718;61.0502;1434
;1449753;8.3902;61.0511;1455
;1449754;8.4086;61.052;1469
;1449755;8.427;61.0529;1399
;1449756;8.4454;61.0538;1432
;1449757;8.4638;61.0547;1631
;1449758;8.4822;61.0556;1605
;1449759;8.5006;61.0565;1352
;1449760;8.519;61.0573;1114
;1449761;8.5374;61.0582;1055
;1449762;8.5558;61.0591;1130
;1449763;8.5742;61.06;1307
;1449804;9.3299;61.0939;923
;1449805;9.3483;61.0947;911
;1449806;9.3668;61.0955;936
;1449807;9.3853;61.0963;974
;1449808;9.4037;61.097;997
;1449809;9.4222;61.0978;969
;1449810;9.4406;61.0986;960
;1449811;9.4591;61.0993;997
;1449812;9.4775;61.1001;962
;1449813;9.496;61.1008;801
;1449814;9.5145;61.1016;863
;1449815;9.5329;61.1023;891
;1449816;9.5514;61.1031;979
;1449817;9.5699;61.1038;904
;1449818;9.5883;61.1046;909
;1449819;9.6068;61.1053;916
;1449820;9.6253;61.106;924
;1449821;9.6438;61.1068;932
;1449822;9.6622;61.1075;946
;1449823;9.6807;61.1082;955
;1449824;9.6992;61.109;996
;1450948;8.3921;61.0422;1669
;1450949;8.4105;61.0431;1672
;1450950;8.4289;61.044;1539
;1450951;8.4473;61.0449;1568
;1450952;8.4656;61.0458;1624
;1450953;8.484;61.0466;1708
;1450954;8.5024;61.0475;1718
;1450955;8.5208;61.0484;1681
;1450956;8.5392;61.0493;1246
;1450957;8.5576;61.0502;1054
;1450958;8.576;61.0511;1151
;1450999;9.3315;61.085;904
;1451000;9.3499;61.0858;913
;1451001;9.3684;61.0866;910
;1451002;9.3869;61.0873;940
;1451003;9.4053;61.0881;1014
;1451004;9.4237;61.0889;1029
;1451005;9.4422;61.0896;957
;1451006;9.4607;61.0904;952
;1451007;9.4791;61.0911;966
;1451008;9.4976;61.0919;891
;1451009;9.516;61.0926;844
;1451010;9.5345;61.0934;906
;1451011;9.5529;61.0941;973
;1451012;9.5714;61.0949;897
;1451013;9.5899;61.0956;934
;1451014;9.6083;61.0964;950
;1451015;9.6268;61.0971;957
;1451016;9.6453;61.0978;977
;1451017;9.6637;61.0986;984
;1451018;9.6822;61.0993;995
;1451019;9.7007;61.1;1033
;1452145;8.4307;61.035;1676
;1452146;8.4491;61.0359;1637
;1452147;8.4675;61.0368;1678
;1452148;8.4859;61.0377;1338
;1452149;8.5043;61.0386;1426
;1452150;8.5227;61.0395;1598
;1452151;8.5411;61.0404;1750
;1452152;8.5595;61.0413;1140
;1452153;8.5779;61.0422;1068
;1452154;8.5962;61.043;1187
;1452193;9.3147;61.0753;950
;1452194;9.3331;61.0761;860
;1452195;9.3515;61.0768;875
;1452196;9.37;61.0776;886
;1452197;9.3884;61.0784;912
;1452198;9.4069;61.0792;961
;1452199;9.4253;61.0799;992
;1452200;9.4438;61.0807;985
;1452201;9.4622;61.0814;915
;1452202;9.4807;61.0822;926
;1452203;9.4991;61.083;858
;1452204;9.5176;61.0837;826
;1452205;9.536;61.0845;906
;1452206;9.5545;61.0852;936
;1452207;9.573;61.0859;898
;1452208;9.5914;61.0867;970
;1452209;9.6099;61.0874;949
;1452210;9.6283;61.0882;1012
;1452211;9.6468;61.0889;1006
;1452212;9.6652;61.0896;1005
;1452213;9.6837;61.0904;1030
;1452214;9.7022;61.0911;1014
;1452215;9.7206;61.0918;1060
;1453341;8.4509;61.027;1616
;1453342;8.4693;61.0279;1313
;1453343;8.4877;61.0288;1378
;1453344;8.5061;61.0297;1264
;1453345;8.5245;61.0306;1234
;1453346;8.5429;61.0315;1276
;1453347;8.5613;61.0324;1216
;1453348;8.5797;61.0332;1046
;1453349;8.5981;61.0341;1157
;1453388;9.3163;61.0664;929
;1453389;9.3347;61.0671;780
;1453390;9.3531;61.0679;805
;1453391;9.3716;61.0687;828
;1453392;9.39;61.0695;835
;1453393;9.4085;61.0702;898
;1453394;9.4269;61.071;972
;1453395;9.4453;61.0717;1027
;1453396;9.4638;61.0725;1008
;1453397;9.4822;61.0733;877
;1453398;9.5007;61.074;842
;1453399;9.5191;61.0748;769
;1453400;9.5376;61.0755;881
;1453401;9.556;61.0763;917
;1453402;9.5745;61.077;891
;1453403;9.5929;61.0778;936
;1453404;9.6114;61.0785;949
;1453405;9.6298;61.0792;947
;1453406;9.6483;61.08;966
;1453407;9.6667;61.0807;1014
;1453408;9.6852;61.0814;1044
;1453409;9.7037;61.0821;1084
;1453410;9.7221;61.0829;1155
;1454537;8.4712;61.019;1791
;1454538;8.4896;61.0199;1821
;1454539;8.5079;61.0208;1863
;1454540;8.5263;61.0217;1370
;1454541;8.5447;61.0225;1270
;1454542;8.5631;61.0234;1138
;1454543;8.5815;61.0243;1040
;1454544;8.5999;61.0252;1143
;1454545;8.6182;61.0261;1266
;1454583;9.3179;61.0574;899
;1454584;9.3363;61.0582;858
;1454585;9.3547;61.059;734
;1454586;9.3732;61.0598;762
;1454587;9.3916;61.0605;751
;1454588;9.41;61.0613;739
;1454589;9.4285;61.0621;829
;1454590;9.4469;61.0628;892
;1454591;9.4654;61.0636;922
;1454592;9.4838;61.0643;924
;1454593;9.5022;61.0651;801
;1454594;9.5207;61.0658;723
;1454595;9.5391;61.0666;875
;1454596;9.5576;61.0673;881
;1454597;9.576;61.0681;879
;1454598;9.5945;61.0688;904
;1454599;9.6129;61.0696;920
;1454600;9.6313;61.0703;983
;1454601;9.6498;61.071;1031
;1454602;9.6683;61.0718;1007
;1454603;9.6867;61.0725;1008
;1454604;9.7052;61.0732;1011
;1455731;8.4546;61.0092;1704
;1455732;8.473;61.0101;1607
;1455733;8.4914;61.011;1787
;1455734;8.5098;61.0119;1829
;1455735;8.5281;61.0127;1845
;1455736;8.5465;61.0136;1662
;1455737;8.5649;61.0145;1264
;1455738;8.5833;61.0154;1044
;1455739;8.6017;61.0163;1099
;1455740;8.6201;61.0171;1283
;1455741;8.6384;61.018;1376
;1455778;9.3195;61.0485;934
;1455779;9.3379;61.0493;882
;1455780;9.3563;61.05;774
;1455781;9.3748;61.0508;718
;1455782;9.3932;61.0516;739
;1455783;9.4116;61.0524;729
;1455784;9.43;61.0531;698
;1455785;9.4485;61.0539;743
;1455786;9.4669;61.0546;852
;1455787;9.4853;61.0554;944
;1455788;9.5038;61.0561;888
;1455789;9.5222;61.0569;749
;1455790;9.5407;61.0576;758
;1455791;9.5591;61.0584;844
;1455792;9.5775;61.0591;851
;1455793;9.596;61.0599;871
;1455794;9.6144;61.0606;896
;1455795;9.6329;61.0614;908
;1455796;9.6513;61.0621;968
;1455797;9.6698;61.0628;1058
;1456926;8.4565;61.0003;1556
;1456927;8.4748;61.0012;1519
;1456928;8.4932;61.002;1718
;1456929;8.5116;61.0029;1757
;1456930;8.53;61.0038;1777
;1456931;8.5483;61.0047;1806
;1456932;8.5667;61.0056;1476
;1456933;8.5851;61.0065;1071
;1456934;8.6035;61.0073;1051
;1456935;8.6219;61.0082;1274
;1456936;8.6402;61.0091;1355
;1456937;8.6586;61.01;1492
;1456974;9.3395;61.0403;921
;1456975;9.3579;61.0411;846
;1456976;9.3764;61.0419;875
;1456977;9.3948;61.0427;913
;1456978;9.4132;61.0434;977
;1456979;9.4316;61.0442;890
;1456980;9.4501;61.0449;698
;1456981;9.4685;61.0457;750
;1456982;9.4869;61.0465;812
;1456983;9.5053;61.0472;879
;1456984;9.5238;61.048;813
;1456985;9.5422;61.0487;663
;1456986;9.5606;61.0495;744
;1456987;9.5791;61.0502;805
;1456988;9.5975;61.0509;931
;1456989;9.6159;61.0517;897
;1456990;9.6344;61.0524;925
;1456991;9.6528;61.0531;1069
;1458121;8.4583;60.9913;1434
;1458122;8.4767;60.9922;1439
;1458123;8.4951;60.9931;1504
;1458124;8.5134;60.994;1644
;1458125;8.5318;60.9949;1356
;1458126;8.5502;60.9958;1513
;1458127;8.5685;60.9967;1710
;1458128;8.5869;60.9975;1198
;1458129;8.6053;60.9984;1028
;1458130;8.6236;60.9993;1132
;1458131;8.642;61.0002;1312
;1458132;8.6604;61.001;1558
;1458171;9.3779;61.0329;930
